quarter,year,revenue_millions,gross_margin,operating_margin,net_income_millions,deliveries,free_cash_flow_millions,rd_expense_millions,debt_to_equity,pe_ratio,market_cap_billions
Q4,2023,25167,17.6,8.2,7938,484507,2066,1156,0.15,76.8,810.2
Q3,2023,23350,17.9,7.6,1853,435059,848,1161,0.14,78.2,785.4
Q2,2023,24927,18.2,9.6,2703,466140,1006,943,0.13,79.1,820.1
Q1,2023,23329,19.3,11.4,2533,422875,441,771,0.12,81.5,850.3
Q4,2022,24318,23.8,16.0,3714,405278,1420,810,0.11,45.2,386.7
Q3,2022,21454,25.1,17.2,3292,343830,3322,733,0.10,48.1,695.8
Q2,2022,16934,25.0,14.6,2296,254695,621,667,0.09,52.3,728.9
Q1,2022,18756,29.1,19.2,3318,310048,2228,865,0.08,55.7,1105.2
Q4,2021,17719,24.1,14.7,2320,308650,2785,754,0.07,58.9,1063.2
Q3,2021,13757,26.6,14.6,1618,241391,1290,627,0.06,62.1,775.8
Q2,2021,11958,24.1,11.0,1136,201304,619,576,0.05,65.3,628.9
Q1,2021,10389,21.3,5.7,438,184877,293,666,0.04,68.5,641.8
Q4,2020,10744,19.2,6.3,270,180667,1890,522,0.03,71.7,668.9
Q3,2020,8771,23.5,9.2,331,139593,1395,366,0.02,74.9,415.1
Q2,2020,6036,18.7,5.4,104,90650,418,347,0.01,78.1,286.5
Q1,2020,5985,20.6,4.7,16,88496,454,324,0.00,81.3,140.6
Q4,2019,7384,20.1,4.9,105,112095,1010,434,0.00,84.5,76.8
Q3,2019,6303,22.8,6.6,143,97186,371,334,0.00,87.7,45.2
Q2,2019,6350,18.9,3.7,408,95356,614,250,0.00,90.9,38.6
Q1,2019,4541,20.2,5.7,154,63019,920,340,0.00,94.1,42.8 
